Bee #,Plant #,Collection #,Season
325,172,114,1
326,83,114,1
326,172,114,1
333,172,114,1
341,162,114,1
350,162,114,1
350,162,114,1
378,154,114,1
194,1,115,1
195,162,115,1
209,43,115,1
216,162,115,1
217,162,115,1
224,172,115,1
260,168,115,1
279,162,115,1
279,172,115,1
281,172,115,1
285,162,115,1
285,162,115,1
298,172,115,1
317,172,115,1
333,13,115,1
341,162,115,1
341,162,115,1
341,162,115,1
364,83,115,1
387,162,115,1
184,168,116,1
184,168,116,1
194,172,116,1
195,154,116,1
196,62,116,1
196,154,116,1
196,168,116,1
199,154,116,1
203,154,116,1
214,24,116,1
214,172,116,1
214,172,116,1
214,172,116,1
216,154,116,1
216,168,116,1
220,172,116,1
224,172,116,1
225,43,116,1
225,172,116,1
228,172,116,1
248,61,116,1
268,172,116,1
277,13,116,1
278,172,116,1
278,172,116,1
279,172,116,1
281,83,116,1
281,172,116,1
281,172,116,1
291,172,116,1
299,168,116,1
299,172,116,1
299,172,116,1
300,168,116,1
300,168,116,1
300,172,116,1
300,172,116,1
319,59,116,1
326,83,116,1
326,83,116,1
326,83,116,1
329,92,116,1
333,172,116,1
333,172,116,1
333,172,116,1
334,172,116,1
341,154,116,1
341,154,116,1
348,43,116,1
348,172,116,1
348,172,116,1
350,24,116,1
350,175,116,1
356,154,116,1
375,182,116,1
378,13,116,1
378,22,116,1
378,22,116,1
378,24,116,1
378,43,116,1
378,43,116,1
378,59,116,1
380,98,116,1
385,172,116,1
216,3,117,1
216,154,117,1
216,162,117,1
217,162,117,1
236,16,117,1
279,16,117,1
341,162,117,1
350,162,117,1
380,162,117,1
217,172,118,1
216,154,118,1
216,172,118,1
216,172,118,1
217,38,118,1
225,38,118,1
225,38,118,1
223,172,118,1
246,172,118,1
279,168,118,1
279,172,118,1
279,172,118,1
281,168,118,1
281,172,118,1
281,172,118,1
298,172,118,1
298,172,118,1
298,172,118,1
317,175,118,1
325,172,118,1
326,172,118,1
370,43,118,1
381,43,118,1
381,83,118,1
384,172,118,1
184,172,119,1
194,168,119,1
194,172,119,1
203,32,119,1
203,83,119,1
203,172,119,1
203,172,119,1
203,172,119,1
224,30,119,1
229,172,119,1
246,168,119,1
247,59,119,1
249,172,119,1
277,125,119,1
279,87,119,1
281,176,119,1
281,87,119,1
284,172,119,1
285,168,119,1
298,168,119,1
298,172,119,1
298,172,119,1
298,172,119,1
298,172,119,1
298,172,119,1
298,172,119,1
298,172,119,1
298,172,119,1
299,172,119,1
299,172,119,1
313,168,119,1
323,172,119,1
330,172,119,1
333,172,119,1
333,172,119,1
333,172,119,1
333,172,119,1
333,172,119,1
348,172,119,1
348,172,119,1
350,32,119,1
350,85,119,1
350,172,119,1
350,172,119,1
350,172,119,1
356,154,119,1
377,172,119,1
378,26,119,1
378,26,119,1
378,59,119,1
378,172,119,1
378,175,119,1
378,175,119,1
195,162,120,1
217,172,120,1
216,154,120,1
216,154,120,1
217,154,120,1
217,172,120,1
236,162,120,1
278,16,120,1
279,150,120,1
279,150,120,1
279,150,120,1
298,168,120,1
298,172,120,1
298,172,120,1
298,172,120,1
312,30,120,1
317,154,120,1
325,30,120,1
326,30,120,1
326,150,120,1
326,150,120,1
326,168,120,1
326,168,120,1
326,168,120,1
326,168,120,1
326,168,120,1
326,172,120,1
330,43,120,1
333,172,120,1
341,162,120,1
341,150,120,1
341,154,120,1
341,154,120,1
341,162,120,1
350,162,120,1
