System	Season	Month	Day	Year	Bee	Plant
BBG	dry	6	25	1996	248	87
BBG	dry	6	25	1996	250	55
BBG	dry	6	25	1996	250	171
BBG	dry	6	25	1996	250	171
BBG	dry	6	25	1996	298	137
BBG	dry	6	25	1996	298	171
BBG	dry	6	25	1996	298	171
BBG	dry	6	25	1996	317	168
BBG	dry	6	25	1996	325	65
BBG	dry	6	25	1996	326	168
BBG	dry	6	25	1996	329	83
BBG	dry	6	25	1996	350	10
BBG	dry	6	25	1996	350	10
BBG	dry	6	25	1996	350	100
BBG	dry	6	25	1996	350	127
BBG	dry	6	25	1996	350	127
BBG	dry	6	25	1996	351	10
BBG	dry	6	25	1996	351	10
BBG	dry	6	25	1996	351	10
BBG	dry	6	25	1996	351	10
BBG	dry	6	25	1996	351	56
BBG	dry	6	25	1996	362	10
BBG	dry	6	25	1996	362	10
BBG	dry	6	25	1996	362	10
BBG	dry	6	25	1996	362	56
BBG	dry	6	25	1996	362	56
BBG	dry	6	25	1996	362	56
BBG	dry	6	25	1996	364	83
BBG	dry	6	25	1996	364	87
BBG	dry	6	25	1996	364	87
BBG	dry	6	25	1996	364	137
BBG	dry	6	25	1996	378	56
BBG	dry	6	25	1996	378	56
BBG	dry	6	25	1996	378	56
BBG	dry	6	25	1996	378	56
BBG	dry	6	25	1996	378	137
BBG	dry	6	25	1996	378	137
BBG	dry	6	25	1996	378	137
BBG	dry	6	25	1996	378	137
BBG	dry	6	25	1996	378	137
BBG	dry	6	25	1996	378	137
BBG	dry	6	25	1996	386	87
BBG	dry	6	27	1996	184	137
BBG	dry	6	27	1996	194	102
BBG	dry	6	27	1996	194	168
BBG	dry	6	27	1996	194	168
BBG	dry	6	27	1996	216	87
BBG	dry	6	27	1996	216	102
BBG	dry	6	27	1996	216	102
BBG	dry	6	27	1996	216	102
BBG	dry	6	27	1996	216	102
BBG	dry	6	27	1996	217	102
BBG	dry	6	27	1996	217	102
BBG	dry	6	27	1996	219	72
BBG	dry	6	27	1996	223	102
