Month,Collection Day,Year,Bee Nr,Plant Nr
Jul,38,2009,16,159
Jul,38,2009,17,159
Jul,38,2009,17,159
Jul,38,2009,17,165
Jul,38,2009,99,180
Aug,39,2009,16,136
Aug,39,2009,16,136
Aug,39,2009,91,136
Aug,39,2009,91,136
Aug,39,2009,91,136
Aug,39,2009,6,143
Aug,39,2009,6,146
Aug,39,2009,16,159
Aug,39,2009,16,159
Aug,39,2009,16,159
Aug,39,2009,16,159
Aug,39,2009,18,159
Aug,40,2009,25,117
Aug,40,2009,89,117
Aug,40,2009,89,117
Aug,40,2009,104,117
Aug,40,2009,16,136
Aug,40,2009,16,136
Aug,40,2009,16,136
Aug,40,2009,16,136
Aug,40,2009,102,136
Aug,40,2009,102,136
Aug,40,2009,102,136
Aug,40,2009,102,136
Aug,40,2009,102,136
Aug,40,2009,102,136
Aug,40,2009,102,136
Aug,40,2009,102,136
Aug,40,2009,102,136
Aug,40,2009,102,136
Aug,40,2009,102,136
Aug,40,2009,102,136
Aug,40,2009,102,136
Aug,40,2009,102,136
Aug,40,2009,102,136
Aug,40,2009,102,136
Aug,40,2009,6,143
Aug,40,2009,16,149
Aug,40,2009,9,150
Aug,40,2009,16,157
Aug,40,2009,111,157
Aug,40,2009,16,159
Aug,40,2009,18,159
Aug,40,2009,17,200
Aug,41,2009,5,143
Aug,41,2009,16,149
Aug,41,2009,22,169
Aug,41,2009,6,143
Aug,41,2009,6,143
Aug,41,2009,6,143
Aug,41,2009,6,143
Aug,41,2009,6,143
Aug,41,2009,6,143
Aug,41,2009,6,143
Aug,41,2009,6,150
Aug,41,2009,6,150
Aug,41,2009,6,150
Aug,41,2009,6,150
Aug,41,2009,6,150
Aug,41,2009,6,150
Aug,41,2009,16,158
Aug,41,2009,16,158
Aug,41,2009,18,158
Aug,41,2009,16,159
Aug,41,2009,18,159
Aug,41,2009,18,159
Aug,41,2009,6,188
Aug,41,2009,16,199
Aug,41,2009,17,199
Aug,41,2009,16,180
Aug,42,2009,91,127
Aug,42,2009,12,135
Aug,42,2009,16,136
Aug,42,2009,17,136
Aug,42,2009,17,136
Aug,42,2009,17,136
Aug,42,2009,17,136
Aug,42,2009,18,136
Aug,42,2009,6,143
Aug,42,2009,6,143
Aug,42,2009,6,143
Aug,42,2009,6,143
Aug,42,2009,6,143
Aug,42,2009,6,143
Aug,42,2009,6,143
Aug,42,2009,6,143
Aug,42,2009,6,143
Aug,42,2009,6,143
Aug,42,2009,6,143
Aug,42,2009,6,143
Aug,42,2009,6,143
Aug,42,2009,6,143
Aug,42,2009,6,143
Aug,42,2009,6,143
Aug,42,2009,6,143
Aug,42,2009,6,143
Aug,42,2009,6,143
Aug,42,2009,73,143
Aug,42,2009,16,150
Aug,42,2009,66,180
Aug,42,2009,36,195
Aug,43,2009,16,181
Aug,43,2009,6,150
Aug,43,2009,91,127
Aug,43,2009,6,143
Aug,43,2009,6,143
Aug,43,2009,6,143
Aug,43,2009,6,143
Aug,43,2009,6,143
Aug,43,2009,6,143
Aug,43,2009,6,143
Aug,43,2009,6,143
Aug,43,2009,6,143
Aug,43,2009,6,143
Aug,43,2009,6,143
Aug,43,2009,6,143
Aug,43,2009,6,143
Aug,43,2009,6,143
Aug,43,2009,6,143
Aug,43,2009,6,143
Aug,43,2009,6,143
Aug,43,2009,6,143
Aug,43,2009,6,143
Aug,43,2009,65,143
Aug,43,2009,69,143
Aug,43,2009,91,143
Aug,43,2009,91,143
Aug,43,2009,91,143
Aug,43,2009,91,143
Aug,43,2009,91,143
Aug,43,2009,91,143
Aug,43,2009,6,150
Aug,43,2009,6,150
Aug,43,2009,6,150
Aug,43,2009,6,150
Aug,43,2009,6,150
Aug,43,2009,69,151
Aug,43,2009,16,158
Aug,43,2009,6,189
Aug,43,2009,6,189
Aug,43,2009,6,189
Aug,43,2009,6,189
Aug,43,2009,6,189
Aug,43,2009,6,189
Aug,43,2009,6,189
Aug,43,2009,6,189
Aug,43,2009,6,189
Aug,43,2009,6,189
Aug,43,2009,6,189
Sep,44,2009,91,127
Sep,44,2009,90,139
Sep,44,2009,91,141
Sep,44,2009,6,143
Sep,44,2009,6,143
Sep,44,2009,6,143
Sep,44,2009,6,143
Sep,44,2009,6,143
Sep,44,2009,6,143
Sep,44,2009,6,143
Sep,44,2009,6,143
Sep,44,2009,6,143
Sep,44,2009,6,143
Sep,45,2009,6,143
Sep,45,2009,6,143
Sep,45,2009,6,143
Sep,45,2009,6,143
Sep,45,2009,6,143
Sep,45,2009,6,143
Sep,45,2009,6,143
Sep,45,2009,6,143
Sep,45,2009,65,143
Sep,46,2009,75,147
Sep,46,2009,6,167
Sep,46,2009,6,167
Sep,46,2009,23,202
Oct,1,2009,6,149
Oct,1,2009,6,149
Oct,1,2009,16,149
Oct,1,2009,16,149
Oct,1,2009,31,202
Oct,2,2009,16,149
Oct,2,2009,56,126
Oct,2,2009,91,126
Oct,2,2009,16,175
Oct,3,2009,6,140
Oct,4,2009,91,125
