,Pollinator.name,Genus,Species,SystemCode,Degree,SystemReference,Size,SizeType
855,Trichiotinus.affinis,Trichiotinus,affinis,ppc,1,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",11,BL
856,Trichocerapis.mirabilis,Trichocerapis,mirabilis,bbg,1,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,13,BL
857,Trichodes.ornatus,Trichodes,ornatus,ppc,1,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",10,BL
858,Trichopticus.septentrionalis,Trichopticus,septentrionalis,ppc,1,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",#N/A,#N/A
859,Trigona.amalthea,Trigona,amalthea,bbg,6,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,2.3,ITD
860,Trigona.angustula,Trigona,angustula,gsv,1,"Ramirez, N., and Y. Brito. 1992. Pollination Biology in a Palm Swamp Community in the Venezuelan Central Plains. Botanical Journal of the Linnean Society 110:277-302.",7,BL
861,Trigona.branneri,Trigona,branneri,bbg,11,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,6.88,BL
862,Trigona.sp,Trigona,sp,bbg,49,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,7,BL
863,Trigona.spinipes,Trigona,spinipes,cer,14,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,1.8,ITD
864,Trigona.spinipes,Trigona,spinipes,bbg,4,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,1.8,ITD
865,Trigonisca.pediculana,Trigonisca,pediculana,bbg,2,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,3,BL
866,Tropidia.quadrata,Tropidia,quadrata,bwk,2,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",9,BL
867,Tropidia.scita,Tropidia,scita,hnk,3,"Dicks, LV, Corbet, SA and Pywell, RF 2002. Compartmentalization in plant-insect flower visitor webs. J. Anim. Ecol. 71: 32-43.",6.41,BL
868,Tropidia.scita,Tropidia,scita,snk,1,"Dicks, LV, Corbet, SA and Pywell, RF 2002. Compartmentalization in plant-insect flower visitor webs. J. Anim. Ecol. 71: 32-43.",6.41,BL
869,Tropidopedia.carinata,Tropidopedia,carinata,cer,1,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,9,BL
870,Tropidopedia.flavolineata,Tropidopedia,flavolineata,cer,5,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,9,BL
871,Tychius.stephensi,Tychius,stephensi,bwk,1,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",2.3,BL
872,Unidentified.sp,Unidentified,sp,nca,1,"Motten, A. F. 1982. Pollination Ecology of the Spring Wildflower Community in the Deciduous Forests of Piedmont North Carolina. Doctoral Dissertation thesis, Duke University, Duhram, North Carolina, USA; Motten, A. F. 1986. Pollination ecology of the spring wildflower community of a temperate deciduous forest. Ecological Monographs 56:21-42.",#N/A,#N/A
