Pollinator.name,Taxa,Genus,Species,PlantName,Interactions,SystemCode,Season,Day,Month,Year,SystemLocation,Reference
Andrena.canadensis,Andrena canadensis,Andrena,canadensis,Prunus demissa,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Bombus.centralis,Bombus centralis,Bombus,centralis,Pentstemon glaber,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Bombus.centralis,Bombus centralis,Bombus,centralis,Chamaenerium angustifolium,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Bombus.centralis,Bombus centralis,Bombus,centralis,Pentstemon gracilis,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Bombus.centralis,Bombus centralis,Bombus,centralis,Monarda fistulosa,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Bombus.centralis,Bombus centralis,Bombus,centralis,Delphinium scopulorum,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Satyrus.charon,Satyrus charon,Satyrus,charon,Carduus hookerianus,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Satyrus.charon,Satyrus charon,Satyrus,charon,Erigeron macranthus,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Satyrus.charon,Satyrus charon,Satyrus,charon,Sedum stenopetalum,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Halictus.sp,Halictus sp,Halictus,sp,Geranium caespitosum,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Halictus.sp,Halictus sp,Halictus,sp,Pentstemon glaber,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Halictus.sp,Halictus sp,Halictus,sp,Pentstemon gracilis,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Halictus.sp,Halictus sp,Halictus,sp,Prunus demissa,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Halictus.sp,Halictus sp,Halictus,sp,Monarda fistulosa,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Halictus.sp,Halictus sp,Halictus,sp,Mertensia sibirica,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Halictus.sp,Halictus sp,Halictus,sp,Opulaster opulifolius,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Halictus.sp,Halictus sp,Halictus,sp,Castilleia miniata,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Halictus.sp,Halictus sp,Halictus,sp,Asclepias halli,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Halictus.sp,Halictus sp,Halictus,sp,Gilia aggregata,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Leptura.chrysocoma,Leptura chrysocoma,Leptura,chrysocoma,Sambucus racemosa,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Myopa.clausa,Myopa clausa,Myopa,clausa,Rubus deliciosus,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
